ISO3,Year,value,Name
DZA,2018,22.8,IS.M.Using copy and p
AZE,2018,65.3,IS.M.Using copy and p
BHR,2018,56,IS.M.Using copy and p
BLR,2018,35,IS.M.Using copy and p
BEL,2017,65.7,IS.M.Using copy and p
BIH,2019,26.1,IS.M.Using copy and p
BRA,2018,22.6,IS.M.Using copy and p
BRN,2018,59.5,IS.M.Using copy and p
KHM,2017,26.3,IS.M.Using copy and p
COL,2018,36.1,IS.M.Using copy and p
HRV,2017,48.6,IS.M.Using copy and p
CUB,2019,18.9,IS.M.Using copy and p
GEO,2018,32.7,IS.M.Using copy and p
GRC,2017,54.4,IS.M.Using copy and p
HKG,2018,55.1,IS.M.Using copy and p
ISL,2017,81.9,IS.M.Using copy and p
IRN,2017,23.7,IS.M.Using copy and p
ITA,2016,44.7,IS.M.Using copy and p
JPN,2018,7.5,IS.M.Using copy and p
KAZ,2018,15.9,IS.M.Using copy and p
KOR,2018,85.4,IS.M.Using copy and p
XKX,2017,29.7,IS.M.Using copy and p
MAC,2018,44.8,IS.M.Using copy and p
MYS,2018,58.8,IS.M.Using copy and p
MAR,2018,54,IS.M.Using copy and p
NER,2018,2.9,IS.M.Using copy and p
MKD,2016,31.1,IS.M.Using copy and p
OMN,2019,87.1,IS.M.Using copy and p
PAK,2016,5.9,IS.M.Using copy and p
PER,2018,27.2,IS.M.Using copy and p
QAT,2019,39.8,IS.M.Using copy and p
RUS,2018,22.6,IS.M.Using copy and p
SAU,2018,72.1,IS.M.Using copy and p
THA,2018,18.3,IS.M.Using copy and p
ARE,2018,61.8,IS.M.Using copy and p
GBR,2017,67.8,IS.M.Using copy and p
UZB,2018,24.5,IS.M.Using copy and p
DZA,2018,12.5,IS.F.Using copy and p
AZE,2018,61.9,IS.F.Using copy and p
BHR,2018,51.1,IS.F.Using copy and p
BLR,2018,37.8,IS.F.Using copy and p
BEL,2017,64.9,IS.F.Using copy and p
BIH,2019,19.3,IS.F.Using copy and p
BRA,2018,17.6,IS.F.Using copy and p
BRN,2018,59.5,IS.F.Using copy and p
KHM,2017,27.3,IS.F.Using copy and p
COL,2018,35.6,IS.F.Using copy and p
HRV,2017,35.3,IS.F.Using copy and p
CUB,2019,22,IS.F.Using copy and p
GEO,2018,29.7,IS.F.Using copy and p
GRC,2017,49.2,IS.F.Using copy and p
HKG,2018,50.5,IS.F.Using copy and p
ISL,2017,82.6,IS.F.Using copy and p
IRN,2017,18.7,IS.F.Using copy and p
ITA,2016,39.4,IS.F.Using copy and p
JPN,2018,5.9,IS.F.Using copy and p
KAZ,2018,15.6,IS.F.Using copy and p
KOR,2018,76.3,IS.F.Using copy and p
XKX,2017,20.1,IS.F.Using copy and p
MAC,2018,42.7,IS.F.Using copy and p
MYS,2018,56,IS.F.Using copy and p
MAR,2018,42.3,IS.F.Using copy and p
NER,2018,0.9,IS.F.Using copy and p
MKD,2016,32.1,IS.F.Using copy and p
OMN,2019,95.6,IS.F.Using copy and p
PAK,2016,2.1,IS.F.Using copy and p
PER,2018,24,IS.F.Using copy and p
QAT,2019,48.6,IS.F.Using copy and p
RUS,2018,25.3,IS.F.Using copy and p
SAU,2018,69.6,IS.F.Using copy and p
THA,2018,21.1,IS.F.Using copy and p
ARE,2018,52,IS.F.Using copy and p
GBR,2017,61.7,IS.F.Using copy and p
UZB,2018,20.3,IS.F.Using copy and p
DZA,2018,13,IS.M.Using basic arit
AZE,2018,21.3,IS.M.Using basic arit
BHR,2018,48.9,IS.M.Using basic arit
BLR,2018,16.7,IS.M.Using basic arit
BEL,2017,47.9,IS.M.Using basic arit
BIH,2019,9,IS.M.Using basic arit
BRA,2018,15.1,IS.M.Using basic arit
BRN,2018,42.4,IS.M.Using basic arit
KHM,2017,8.8,IS.M.Using basic arit
COL,2018,24.7,IS.M.Using basic arit
HRV,2017,39.7,IS.M.Using basic arit
CUB,2019,18.9,IS.M.Using basic arit
CZE,2017,43.7,IS.M.Using basic arit
DNK,2017,62.7,IS.M.Using basic arit
GEO,2018,9.7,IS.M.Using basic arit
GRC,2017,42.9,IS.M.Using basic arit
HKG,2018,34.6,IS.M.Using basic arit
ISL,2017,73.3,IS.M.Using basic arit
IRN,2017,8.1,IS.M.Using basic arit
ITA,2016,35.2,IS.M.Using basic arit
JPN,2018,6.7,IS.M.Using basic arit
KAZ,2018,39.1,IS.M.Using basic arit
KOR,2018,51.7,IS.M.Using basic arit
XKX,2017,19.1,IS.M.Using basic arit
KWT,2018,39,IS.M.Using basic arit
LVA,2019,29.8,IS.M.Using basic arit
LUX,2017,74,IS.M.Using basic arit
MAC,2018,35.4,IS.M.Using basic arit
MYS,2018,27.2,IS.M.Using basic arit
MLT,2017,37.9,IS.M.Using basic arit
MEX,2018,28.5,IS.M.Using basic arit
MNE,2018,26.4,IS.M.Using basic arit
MAR,2018,26.1,IS.M.Using basic arit
NER,2018,1.2,IS.M.Using basic arit
MKD,2016,21.6,IS.M.Using basic arit
NOR,2017,61.1,IS.M.Using basic arit
OMN,2019,22.1,IS.M.Using basic arit
PAK,2016,2.9,IS.M.Using basic arit
PER,2018,17.1,IS.M.Using basic arit
POL,2018,30.1,IS.M.Using basic arit
PRT,2017,41.4,IS.M.Using basic arit
QAT,2019,29.7,IS.M.Using basic arit
RUS,2018,20.3,IS.M.Using basic arit
SAU,2018,53.5,IS.M.Using basic arit
SRB,2017,28.6,IS.M.Using basic arit
ESP,2019,40.9,IS.M.Using basic arit
SWE,2017,57.3,IS.M.Using basic arit
CHE,2017,62.7,IS.M.Using basic arit
THA,2018,13.6,IS.M.Using basic arit
ARE,2018,34.8,IS.M.Using basic arit
GBR,2017,53.7,IS.M.Using basic arit
UZB,2018,12,IS.M.Using basic arit
DZA,2018,5.8,IS.F.Using basic arit
AZE,2018,20.2,IS.F.Using basic arit
BHR,2018,39.9,IS.F.Using basic arit
BLR,2018,18.3,IS.F.Using basic arit
BEL,2017,40.9,IS.F.Using basic arit
BIH,2019,6.3,IS.F.Using basic arit
BRA,2018,9.9,IS.F.Using basic arit
BRN,2018,42.4,IS.F.Using basic arit
KHM,2017,9.1,IS.F.Using basic arit
COL,2018,24.6,IS.F.Using basic arit
HRV,2017,25.2,IS.F.Using basic arit
CUB,2019,22,IS.F.Using basic arit
CZE,2017,37.9,IS.F.Using basic arit
DNK,2017,50,IS.F.Using basic arit
GEO,2018,9.1,IS.F.Using basic arit
GRC,2017,35.7,IS.F.Using basic arit
HKG,2018,31.6,IS.F.Using basic arit
ISL,2017,69.2,IS.F.Using basic arit
IRN,2017,5.9,IS.F.Using basic arit
ITA,2016,26.3,IS.F.Using basic arit
JPN,2018,4.5,IS.F.Using basic arit
KAZ,2018,38.7,IS.F.Using basic arit
KOR,2018,37.8,IS.F.Using basic arit
XKX,2017,12.6,IS.F.Using basic arit
KWT,2018,37,IS.F.Using basic arit
LVA,2019,34.2,IS.F.Using basic arit
LUX,2017,62.8,IS.F.Using basic arit
MAC,2018,34.5,IS.F.Using basic arit
MYS,2018,24.6,IS.F.Using basic arit
MLT,2017,33.4,IS.F.Using basic arit
MEX,2018,25.6,IS.F.Using basic arit
MNE,2018,23.9,IS.F.Using basic arit
MAR,2018,18.7,IS.F.Using basic arit
NER,2018,0.4,IS.F.Using basic arit
MKD,2016,21.3,IS.F.Using basic arit
NOR,2017,48.7,IS.F.Using basic arit
OMN,2019,40.7,IS.F.Using basic arit
PAK,2016,1.3,IS.F.Using basic arit
PER,2018,14,IS.F.Using basic arit
POL,2018,27.6,IS.F.Using basic arit
PRT,2017,34.9,IS.F.Using basic arit
QAT,2019,20.3,IS.F.Using basic arit
RUS,2018,24.2,IS.F.Using basic arit
SAU,2018,43.2,IS.F.Using basic arit
SRB,2017,20.5,IS.F.Using basic arit
ESP,2019,35.6,IS.F.Using basic arit
SWE,2017,43.6,IS.F.Using basic arit
CHE,2017,51.5,IS.F.Using basic arit
THA,2018,16.5,IS.F.Using basic arit
ARE,2018,31.6,IS.F.Using basic arit
GBR,2017,44.4,IS.F.Using basic arit
UZB,2018,9,IS.F.Using basic arit
DZA,2018,9.1,IS.M.Writing a comput
AUT,2017,11.8,IS.M.Writing a comput
AZE,2018,0.7,IS.M.Writing a comput
BHR,2018,9.1,IS.M.Writing a comput
BLR,2018,3.7,IS.M.Writing a comput
BEL,2017,13.6,IS.M.Writing a comput
BIH,2019,3.5,IS.M.Writing a comput
BRA,2018,4.3,IS.M.Writing a comput
BRN,2018,27.7,IS.M.Writing a comput
BGR,2017,1.9,IS.M.Writing a comput
KHM,2017,0.1,IS.M.Writing a comput
COL,2018,7,IS.M.Writing a comput
HRV,2017,8.2,IS.M.Writing a comput
CUB,2019,5.2,IS.M.Writing a comput
CZE,2017,7,IS.M.Writing a comput
DNK,2017,19.7,IS.M.Writing a comput
EST,2017,10.1,IS.M.Writing a comput
GEO,2018,0.8,IS.M.Writing a comput
DEU,2019,8.4,IS.M.Writing a comput
GRC,2017,8.1,IS.M.Writing a comput
HKG,2018,3.6,IS.M.Writing a comput
HUN,2017,6.7,IS.M.Writing a comput
ISL,2017,18.6,IS.M.Writing a comput
IRN,2017,1.6,IS.M.Writing a comput
ITA,2016,6.5,IS.M.Writing a comput
JPN,2018,0.8,IS.M.Writing a comput
KAZ,2018,6.1,IS.M.Writing a comput
KOR,2018,7.8,IS.M.Writing a comput
XKX,2017,8.2,IS.M.Writing a comput
KWT,2018,12.9,IS.M.Writing a comput
LVA,2019,4,IS.M.Writing a comput
LUX,2017,16.4,IS.M.Writing a comput
MAC,2018,8.1,IS.M.Writing a comput
MYS,2018,8.3,IS.M.Writing a comput
MLT,2017,7,IS.M.Writing a comput
MEX,2018,8.8,IS.M.Writing a comput
MNE,2018,4.3,IS.M.Writing a comput
MAR,2018,8.9,IS.M.Writing a comput
NER,2018,0.4,IS.M.Writing a comput
MKD,2016,3.1,IS.M.Writing a comput
NOR,2017,17.5,IS.M.Writing a comput
OMN,2019,5.3,IS.M.Writing a comput
PAK,2016,2,IS.M.Writing a comput
PER,2018,3.8,IS.M.Writing a comput
POL,2018,5.2,IS.M.Writing a comput
PRT,2017,10.3,IS.M.Writing a comput
QAT,2019,6.6,IS.M.Writing a comput
RUS,2018,1.7,IS.M.Writing a comput
SAU,2018,16.3,IS.M.Writing a comput
SRB,2017,5.5,IS.M.Writing a comput
SVK,2019,5.2,IS.M.Writing a comput
SVN,2017,6.8,IS.M.Writing a comput
ESP,2019,9.1,IS.M.Writing a comput
SWE,2017,17.8,IS.M.Writing a comput
CHE,2017,13.9,IS.M.Writing a comput
THA,2018,1.2,IS.M.Writing a comput
TUR,2019,4.5,IS.M.Writing a comput
ARE,2018,9,IS.M.Writing a comput
GBR,2017,13.7,IS.M.Writing a comput
DZA,2018,4.7,IS.F.Writing a comput
AUT,2017,2.8,IS.F.Writing a comput
AZE,2018,0.7,IS.F.Writing a comput
BHR,2018,11.2,IS.F.Writing a comput
BLR,2018,1.4,IS.F.Writing a comput
BEL,2017,4.4,IS.F.Writing a comput
BIH,2019,1,IS.F.Writing a comput
BRA,2018,1.4,IS.F.Writing a comput
BRN,2018,27.7,IS.F.Writing a comput
BGR,2017,0.6,IS.F.Writing a comput
KHM,2017,0.1,IS.F.Writing a comput
COL,2018,5.1,IS.F.Writing a comput
HRV,2017,1.7,IS.F.Writing a comput
CUB,2019,5.2,IS.F.Writing a comput
CZE,2017,0.9,IS.F.Writing a comput
DNK,2017,7.9,IS.F.Writing a comput
EST,2017,4,IS.F.Writing a comput
GEO,2018,0.2,IS.F.Writing a comput
DEU,2019,2.6,IS.F.Writing a comput
GRC,2017,3.8,IS.F.Writing a comput
HKG,2018,1.8,IS.F.Writing a comput
HUN,2017,1.5,IS.F.Writing a comput
ISL,2017,7,IS.F.Writing a comput
IRN,2017,1,IS.F.Writing a comput
ITA,2016,2.3,IS.F.Writing a comput
JPN,2018,0.2,IS.F.Writing a comput
KAZ,2018,5.7,IS.F.Writing a comput
KOR,2018,4.2,IS.F.Writing a comput
XKX,2017,6.5,IS.F.Writing a comput
KWT,2018,14.3,IS.F.Writing a comput
LVA,2019,1.2,IS.F.Writing a comput
LUX,2017,5,IS.F.Writing a comput
MAC,2018,6.1,IS.F.Writing a comput
MYS,2018,7.4,IS.F.Writing a comput
MLT,2017,3.2,IS.F.Writing a comput
MEX,2018,6.7,IS.F.Writing a comput
MNE,2018,2.7,IS.F.Writing a comput
MAR,2018,4.7,IS.F.Writing a comput
NER,2018,0.2,IS.F.Writing a comput
MKD,2016,2.6,IS.F.Writing a comput
NOR,2017,6.2,IS.F.Writing a comput
OMN,2019,7.9,IS.F.Writing a comput
PAK,2016,0.9,IS.F.Writing a comput
PER,2018,2.1,IS.F.Writing a comput
POL,2018,1.5,IS.F.Writing a comput
PRT,2017,5.9,IS.F.Writing a comput
QAT,2019,3.6,IS.F.Writing a comput
RUS,2018,0.6,IS.F.Writing a comput
SAU,2018,11.9,IS.F.Writing a comput
SRB,2017,2.8,IS.F.Writing a comput
SVK,2019,2.2,IS.F.Writing a comput
SVN,2017,1.2,IS.F.Writing a comput
ESP,2019,4.6,IS.F.Writing a comput
SWE,2017,5,IS.F.Writing a comput
CHE,2017,4.8,IS.F.Writing a comput
THA,2018,1,IS.F.Writing a comput
TUR,2019,1.8,IS.F.Writing a comput
ARE,2018,5.7,IS.F.Writing a comput
GBR,2017,6.6,IS.F.Writing a comput
