ISO3,Country,Income.group,Region,Flag
LBN,Lebanon,Upper middle income,Western Asia,https://upload.wikimedia.org/wikipedia/commons/5/59/Flag_of_Lebanon.svg
LSO,Lesotho,Lower middle income,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/4/4a/Flag_of_Lesotho.svg
LBR,Liberia,Low income,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/b/b8/Flag_of_Liberia.svg
LBY,Libya,Upper middle income,Northern Africa,https://upload.wikimedia.org/wikipedia/commons/0/05/Flag_of_Libya.svg
LIE,Liechtenstein,High income,Developed regions,https://upload.wikimedia.org/wikipedia/commons/4/47/Flag_of_Liechtenstein.svg
LTU,Lithuania,High income,Developed regions,https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Lithuania.svg
LUX,Luxembourg,High income,Developed regions,https://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_Luxembourg.svg
MAC,"Macao SAR, China",High income,Eastern Asia,https://upload.wikimedia.org/wikipedia/commons/6/63/Flag_of_Macau.svg
MKD,"Macedonia, FYR",Upper middle income,Developed regions,https://commons.wikimedia.org/wiki/File:Flag_of_North_Macedonia.svg
MDG,Madagascar,Low income,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Madagascar.svg
MWI,Malawi,Low income,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/d/d1/Flag_of_Malawi.svg
MYS,Malaysia,Upper middle income,South-eastern Asia,https://upload.wikimedia.org/wikipedia/commons/6/66/Flag_of_Malaysia.svg
MDV,Maldives,Upper middle income,Southern Asia,https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Maldives.svg
MLI,Mali,Low income,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Mali.svg
MLT,Malta,High income,Developed regions,https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Malta.svg
MHL,Marshall Islands,Upper middle income,Oceania,https://upload.wikimedia.org/wikipedia/commons/2/2e/Flag_of_the_Marshall_Islands.svg
MRT,Mauritania,Lower middle income,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/4/43/Flag_of_Mauritania.svg
MUS,Mauritius,Upper middle income,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Mauritius.svg
MEX,Mexico,Upper middle income,Latin America and the Caribbean,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg
FSM,"Micronesia, Fed. Sts.",Lower middle income,Oceania,https://upload.wikimedia.org/wikipedia/commons/e/e4/Flag_of_the_Federated_States_of_Micronesia.svg 
MDA,Moldova,Lower middle income,Developed regions,https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Moldova.svg
MCO,Monaco,High income,Developed regions,https://upload.wikimedia.org/wikipedia/commons/e/ea/Flag_of_Monaco.svg
MNG,Mongolia,Lower middle income,Eastern Asia,https://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Mongolia.svg
MNE,Montenegro,Upper middle income,Developed regions,https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Montenegro.svg
MAR,Morocco,Lower middle income,Northern Africa,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Morocco.svg
MOZ,Mozambique,Low income,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Mozambique.svg
MMR,Myanmar,Lower middle income,South-eastern Asia,https://upload.wikimedia.org/wikipedia/commons/8/8c/Flag_of_Myanmar.svg
NAM,Namibia,Upper middle income,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_Namibia.svg
NRU,Nauru,High income,Oceania,https://upload.wikimedia.org/wikipedia/commons/3/30/Flag_of_Nauru.svg
NPL,Nepal,Low income,Southern Asia,https://upload.wikimedia.org/wikipedia/commons/9/9b/Flag_of_Nepal.svg
NLD,Netherlands,High income,Developed regions,https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg
NCL,New Caledonia,High income,Oceania,https://upload.wikimedia.org/wikipedia/commons/2/26/Flags_of_New_Caledonia.svg
NZL,New Zealand,High income,Developed regions,https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg
NIC,Nicaragua,Lower middle income,Latin America and the Caribbean,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Nicaragua.svg
NER,Niger,Low income,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/f/f4/Flag_of_Niger.svg
NGA,Nigeria,Lower middle income,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/7/79/Flag_of_Nigeria.svg
MNP,Northern Mariana Islands,High income,Oceania,https://upload.wikimedia.org/wikipedia/commons/e/e0/Flag_of_the_Northern_Mariana_Islands.svg 
NOR,Norway,High income,Developed regions,https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Norway.svg
OMN,Oman,High income,Western Asia,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Oman.svg
PAK,Pakistan,Lower middle income,Southern Asia,https://upload.wikimedia.org/wikipedia/commons/3/32/Flag_of_Pakistan.svg
PLW,Palau,Upper middle income,Oceania,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Palau.svg
PAN,Panama,Upper middle income,Latin America and the Caribbean,https://upload.wikimedia.org/wikipedia/commons/a/ab/Flag_of_Panama.svg
PNG,Papua New Guinea,Lower middle income,Oceania,https://upload.wikimedia.org/wikipedia/commons/e/e3/Flag_of_Papua_New_Guinea.svg
PRY,Paraguay,Upper middle income,Latin America and the Caribbean,https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Paraguay.svg
PER,Peru,Upper middle income,Latin America and the Caribbean,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Peru.svg
PHL,Philippines,Lower middle income,South-eastern Asia,https://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_the_Philippines.svg
POL,Poland,High income,Developed regions,https://upload.wikimedia.org/wikipedia/en/1/12/Flag_of_Poland.svg
PRT,Portugal,High income,Developed regions,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg
PRI,Puerto Rico,High income,Latin America and the Caribbean,https://upload.wikimedia.org/wikipedia/commons/2/28/Flag_of_Puerto_Rico.svg 
QAT,Qatar,High income,Western Asia,https://upload.wikimedia.org/wikipedia/commons/6/65/Flag_of_Qatar.svg
ROM,Romania,Upper middle income,Developed regions,https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Romania.svg
RUS,Russian Federation,Upper middle income,Developed regions,https://upload.wikimedia.org/wikipedia/en/f/f3/Flag_of_Russia.svg 
RWA,Rwanda,Low income,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Rwanda.svg
STP,Sao Tome and Principe,Lower middle income,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
WSM,Samoa,Low income,Oceania,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Samoa.svg
SMR,San Marino,Low income,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/b/b1/Flag_of_San_Marino.svg
SAU,Saudi Arabia,High income,Western Asia,https://upload.wikimedia.org/wikipedia/commons/0/0d/Flag_of_Saudi_Arabia.svg
SEN,Senegal,Low income,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/f/fd/Flag_of_Senegal.svg
SRB,Serbia,Upper middle income,Developed regions,https://upload.wikimedia.org/wikipedia/commons/f/ff/Flag_of_Serbia.svg
SYC,Seychelles,High income,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Seychelles.svg
SLE,Sierra Leone,Low income,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Sierra_Leone.svg
SGP,Singapore,High income,South-eastern Asia,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Singapore.svg
SXM,Sint Maarten (Dutch part),High income,Latin America and the Caribbean,https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Sint_Maarten.svg
SVK,Slovak Republic,High income,Developed regions,https://upload.wikimedia.org/wikipedia/commons/e/e6/Flag_of_Slovakia.svg
SVN,Slovenia,High income,Developed regions,https://upload.wikimedia.org/wikipedia/commons/f/f0/Flag_of_Slovenia.svg
SLB,Solomon Islands,Lower middle income,Oceania,https://upload.wikimedia.org/wikipedia/commons/7/74/Flag_of_the_Solomon_Islands.svg
SOM,Somalia,Low income,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/a/a0/Flag_of_Somalia.svg
ZAF,South Africa,Upper middle income,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/a/af/Flag_of_South_Africa.svg
SSD,South Sudan,Low income,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/7/7a/Flag_of_South_Sudan.svg
ESP,Spain,High income,Developed regions,https://upload.wikimedia.org/wikipedia/en/9/9a/Flag_of_Spain.svg
LKA,Sri Lanka,Lower middle income,Southern Asia,https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Sri_Lanka.svg
KNA,St. Kitts and Nevis,High income,Latin America and the Caribbean,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Saint_Kitts_and_Nevis.svg
LCA,St. Lucia,Upper middle income,Latin America and the Caribbean,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Saint_Lucia.svg
VCT,St. Vincent and the Grenadines,Upper middle income,Latin America and the Caribbean,https://upload.wikimedia.org/wikipedia/commons/6/6d/Flag_of_Saint_Vincent_and_the_Grenadines.svg 
SDN,Sudan,Lower middle income,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Sudan.svg
SUR,Suriname,Upper middle income,Latin America and the Caribbean,https://upload.wikimedia.org/wikipedia/commons/6/60/Flag_of_Suriname.svg
SWZ,Swaziland,Lower middle income,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/1/1e/Flag_of_Swaziland.svg
SWE,Sweden,High income,Developed regions,https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg
CHE,Switzerland,High income,Developed regions,https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg
SYR,Syrian Arab Republic,Lower middle income,Western Asia,https://upload.wikimedia.org/wikipedia/commons/5/53/Flag_of_Syria.svg 
TJK,Tajikistan,Lower middle income,Caucasus and Central Asia,https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Tajikistan.svg
TZA,Tanzania,Low income,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Tanzania.svg
THA,Thailand,Upper middle income,South-eastern Asia,https://upload.wikimedia.org/wikipedia/commons/a/a9/Flag_of_Thailand.svg
TMP,Timor-Leste,Lower middle income,South-eastern Asia,https://upload.wikimedia.org/wikipedia/commons/2/26/Flag_of_East_Timor.svg 
TGO,Togo,Low income,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/6/68/Flag_of_Togo.svg
TON,Tonga,Lower middle income,Oceania,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Tonga.svg
TTO,Trinidad and Tobago,High income,Latin America and the Caribbean,https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Trinidad_and_Tobago.svg
TUN,Tunisia,Lower middle income,Northern Africa,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Tunisia.svg
TUR,Turkey,Upper middle income,Western Asia,https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Turkey.svg
TKM,Turkmenistan,Upper middle income,Caucasus and Central Asia,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Turkmenistan.svg
TCA,Turks and Caicos Islands,High income,Latin America and the Caribbean,https://upload.wikimedia.org/wikipedia/commons/a/a0/Flag_of_the_Turks_and_Caicos_Islands.svg 
TUV,Tuvalu,Upper middle income,Oceania,https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Tuvalu.svg
UGA,Uganda,Low income,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/4/4e/Flag_of_Uganda.svg
UKR,Ukraine,Lower middle income,Developed regions,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg
ARE,United Arab Emirates,High income,Western Asia,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_United_Arab_Emirates.svg
GBR,United Kingdom,High income,Developed regions,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg
USA,United States,High income,Developed regions,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
URY,Uruguay,High income,Latin America and the Caribbean,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg
UZB,Uzbekistan,Lower middle income,Caucasus and Central Asia,https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Uzbekistan.svg
VUT,Vanuatu,Lower middle income,Oceania,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Vanuatu.svg
VEN,"Venezuela, RB",Upper middle income,Latin America and the Caribbean,https://upload.wikimedia.org/wikipedia/commons/7/7b/Flag_of_Venezuela_%28state%29.svg 
VNM,Vietnam,Lower middle income,South-eastern Asia,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Vietnam.svg
VIR,Virgin Islands (U.S.),High income,Latin America and the Caribbean,https://upload.wikimedia.org/wikipedia/commons/f/f8/Flag_of_the_United_States_Virgin_Islands.svg 
YEM,"Yemen, Rep.",Lower middle income,Western Asia,https://upload.wikimedia.org/wikipedia/commons/d/db/Flag_of_South_Yemen.svg 
ZMB,Zambia,Lower middle income,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/0/06/Flag_of_Zambia.svg
ZWE,Zimbabwe,Low income,Sub-Saharan Africa,https://upload.wikimedia.org/wikipedia/commons/6/6a/Flag_of_Zimbabwe.svg
CPV,Cape Verde,High income,Developed regions,https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Cape_Verde.svg
TWN,"Taiwan, Prov. of China",Lower middle income,Eastern Asia,https://upload.wikimedia.org/wikipedia/commons/7/72/Flag_of_the_Republic_of_China.svg
